"##Downloaded July 9, 2015 from http://hgdownload.soe.ucsc.edu/goldenPath/hg19/database/ "								
#Name	Transcript	Chromosome	Transcription_Start	Transcription_End	Alpha	Beta	Gamma	Delta
DDX11L1	NR_046018	chr1	11873	14409	1000	1000	1268	1267
WASH7P	NR_024540	chr1	14361	29370	1000	1000	7504	7504
MIR6859-4	NR_128720	chr1	17368	17436	1000	1000	34	33
MIR6859-3	NR_107063	chr1	17368	17436	1000	1000	34	33
MIR6859-1	NR_106918	chr1	17368	17436	1000	1000	34	33
MIR6859-2	NR_107062	chr1	17368	17436	1000	1000	34	33
MIR1302-10	NR_036267	chr1	30365	30503	1000	1000	69	68
MIR1302-2	NR_036051	chr1	30365	30503	1000	1000	69	68
MIR1302-9	NR_036266	chr1	30365	30503	1000	1000	69	68
MIR1302-11	NR_036268	chr1	30365	30503	1000	1000	69	68
FAM138F	NR_026820	chr1	34610	36081	1000	1000	735	735
FAM138A	NR_026818	chr1	34610	36081	1000	1000	735	735
OR4F5	NM_001005484	chr1	69090	70008	1000	1000	459	458
LOC729737	NR_039983	chr1	134772	140566	1000	1000	2897	2896
LOC100132062	NR_028325	chr1	323891	328581	1000	1000	2345	2344
LOC100132287	NR_028322	chr1	323891	328581	1000	1000	2345	2344
LOC100133331	NR_028327	chr1	323891	328581	1000	1000	2345	2344
OR4F3	NM_001005224	chr1	367658	368597	1000	1000	469	469
OR4F16	NM_001005277	chr1	367658	368597	1000	1000	469	469
OR4F29	NM_001005221	chr1	367658	368597	1000	1000	469	469
LOC101928626	NR_125957	chr1	562759	564389	1000	1000	815	814
MIR6723	NR_106781	chr1	567704	567793	1000	1000	44	44
OR4F3	NM_001005224	chr1	621095	622034	1000	1000	469	469
OR4F16	NM_001005277	chr1	621095	622034	1000	1000	469	469
OR4F29	NM_001005221	chr1	621095	622034	1000	1000	469	469
LOC100133331	NR_028327	chr1	661138	665731	1000	1000	2296	2296
LOC100288069	NR_033908	chr1	700244	714068	1000	1000	6912	6911
FAM87B	NR_103536	chr1	752750	755214	1000	1000	1232	1231
LINC00115	NR_024321	chr1	761585	762902	1000	1000	658	658
LINC01128	NR_047526	chr1	762970	778984	1000	1000	8007	8006
LINC01128	NR_047524	chr1	762970	794826	1000	1000	15928	15927
LINC01128	NR_047523	chr1	762970	794826	1000	1000	15928	15927
LINC01128	NR_047521	chr1	762970	794826	1000	1000	15928	15927
LINC01128	NR_047519	chr1	762970	794826	1000	1000	15928	15927
LINC01128	NR_047525	chr1	763177	794826	1000	1000	15824	15824
FAM41C	NR_027055	chr1	803450	812182	1000	1000	4366	4365
LOC100130417	NR_122045	chr1	852197	855072	1000	1000	1437	1437
LOC100130417	NR_026874	chr1	852197	855072	1000	1000	1437	1437
SAMD11	NM_152486	chr1	861120	879961	1000	1000	9420	9420
NOC2L	NM_015658	chr1	879582	894679	1000	1000	7548	7548
KLHL17	NM_198317	chr1	895966	901099	1000	100	2566	2566
PLEKHN1	NM_001160184	chr1	901876	910484	500	1000	4304	4303
PLEKHN1	NM_032129	chr1	901876	910484	500	1000	4304	4303
PERM1	NM_001291367	chr1	910578	917497	1000	1000	3459	3459
PERM1	NM_001291366	chr1	910578	917497	1000	1000	3459	3459
HES4	NM_021170	chr1	934341	935552	1000	1000	605	605
HES4	NM_001142467	chr1	934343	935552	1000	1000	604	604
ISG15	NM_005101	chr1	948846	949919	1000	1000	536	536
AGRN	NM_198576	chr1	955502	991499	1000	1000	17998	17998
AGRN	NM_001305275	chr1	955502	991499	1000	1000	17998	17998
RNF223	NM_001205252	chr1	1007125	1009687	1000	1000	1281	1280
C1orf159	NM_017891	chr1	1017197	1051736	1000	1000	17269	17269
LINC01342	NR_038869	chr1	1072396	1079434	1000	1000	3519	3518
MIR200B	NR_029639	chr1	1102483	1102578	1000	1000	47	47
MIR200A	NR_029834	chr1	1103242	1103332	1000	1000	45	44
MIR429	NR_029957	chr1	1104384	1104467	1000	1000	41	41
TTLL10	NM_001130045	chr1	1109285	1133313	1000	1000	605	20813
TTLL10	NM_153254	chr1	1115076	1121243	1000	1000	3083	3083
TNFRSF18	NM_004195	chr1	1138887	1142089	1000	1000	1601	1600
TNFRSF18	NM_148901	chr1	1138887	1142089	1000	1000	1601	1600
TNFRSF18	NM_148902	chr1	1138887	1142089	1000	1000	1601	1600
TNFRSF4	NM_003327	chr1	1146705	1149548	1000	1000	1421	1421
SDF4	NM_016547	chr1	1152287	1167447	1000	1000	7580	7579
SDF4	NM_016176	chr1	1152287	1167447	1000	1000	7580	7579
B3GALT6	NM_080605	chr1	1167628	1170420	1000	1000	1396	1395
FAM132A	NM_001014980	chr1	1177825	1182102	1000	1000	2138	2138
UBE2J2	NM_194315	chr1	1189291	1209234	1000	1000	9971	9971
UBE2J2	NM_058167	chr1	1189291	1209234	1000	1000	9971	9971
UBE2J2	NM_194458	chr1	1189291	1209234	1000	1000	9971	9971
UBE2J2	NM_194457	chr1	1189291	1209234	1000	1000	9971	9971
SCNN1D	NM_001130413	chr1	1215815	1227409	1000	1000	5797	5796
SCNN1D	NR_037668	chr1	1215815	1227409	1000	1000	5797	5796
ACAP3	NM_030649	chr1	1227763	1243269	1000	1000	7753	7752
MIR6726	NR_106784	chr1	1231489	1231550	1000	1000	30	30
PUSL1	NM_153339	chr1	1243993	1247057	1000	1000	1532	1531
CPSF3L	NM_017871	chr1	1246964	1260067	1000	1000	6551	6551
CPSF3L	NM_001256456	chr1	1246964	1260067	1000	1000	6551	6551
CPSF3L	NM_001256463	chr1	1246964	1260067	1000	1000	6551	6551
CPSF3L	NM_001256462	chr1	1246964	1260067	1000	1000	6551	6551
CPSF3L	NM_001256460	chr1	1246964	1260067	1000	1000	6551	6551
MIR6727	NR_106785	chr1	1247881	1247946	1000	1000	32	32
CPTP	NM_001029885	chr1	1260142	1264276	1000	1000	2067	2066
TAS1R3	NM_152228	chr1	1266725	1269844	1000	1000	1559	1559
DVL1	NM_004421	chr1	1270657	1284492	1000	1000	6917	6917
MIR6808	NR_106866	chr1	1275029	1275088	1000	1000	29	29
MXRA8	NM_001282585	chr1	1288068	1293927	1000	1000	2929	2929
MXRA8	NM_001282584	chr1	1288068	1294174	1000	1000	3053	3052
MXRA8	NM_001282583	chr1	1288068	1297157	1000	1000	4544	4544
MXRA8	NM_001282582	chr1	1288068	1298921	1000	1000	5426	5426
MXRA8	NM_032348	chr1	1288068	1294174	1000	1000	3053	3052
AURKAIP1	NM_001127229	chr1	1309109	1310580	1000	1000	735	735
AURKAIP1	NM_017900	chr1	1309109	1310818	1000	1000	854	854
AURKAIP1	NM_001127230	chr1	1309110	1310562	1000	1000	726	725
CCNL2	NM_030937	chr1	1321090	1334718	1000	1000	6814	6813
CCNL2	NM_001039577	chr1	1327667	1334718	1000	1000	3525	3525
LOC148413	NR_015434	chr1	1334909	1337426	1000	1000	1258	1258
MRPL20	NM_017971	chr1	1337275	1342693	1000	1000	2709	2708
ANKRD65	NM_001145210	chr1	1353799	1356824	1000	1000	1512	1512
ANKRD65	NM_001243536	chr1	1353799	1356824	1000	1000	1512	1512
ANKRD65	NM_001243535	chr1	1353799	1356824	1000	1000	1512	1512
TMEM88B	NM_001146685	chr1	1361507	1363167	1000	1000	830	829
LOC102724312	NR_125994	chr1	1365536	1369953	1000	1000	2208	2208
LOC102724312	NR_125995	chr1	1365536	1369953	1000	1000	2208	2208
LOC102724312	NR_125996	chr1	1365536	1369953	1000	1000	2208	2208
VWA1	NM_199121	chr1	1370902	1378262	1000	1000	3680	3679
VWA1	NM_022834	chr1	1370902	1378262	1000	1000	3680	3679
ATAD3C	NM_001039211	chr1	1385068	1405538	1000	1000	10235	10234
ATAD3B	NM_031921	chr1	1407163	1431582	1000	1000	12209	12209
ATAD3A	NM_001170535	chr1	1447522	1470067	1000	1000	11272	11272
ATAD3A	NM_018188	chr1	1447522	1470067	1000	1000	11272	11272
ATAD3A	NM_001170536	chr1	1447909	1470067	1000	1000	11079	11078
TMEM240	NM_001114748	chr1	1470157	1475740	1000	1000	2791	2791
SSU72	NM_014188	chr1	1477052	1510262	1000	1000	16605	16604
C1orf233	NM_001242659	chr1	1533387	1535476	1000	1000	1044	1044
MIB2	NM_001170688	chr1	1550794	1565990	1000	1000	7598	7597
MIB2	NM_001170687	chr1	1550794	1565990	1000	1000	7598	7597
MIB2	NM_080875	chr1	1550794	1565990	1000	1000	7598	7597
MIB2	NM_001170686	chr1	1550794	1565990	1000	1000	7598	7597
MIB2	NR_033183	chr1	1550794	1565990	1000	1000	7598	7597
MIB2	NM_001170689	chr1	1551244	1565990	1000	1000	7373	7372
MMP23B	NM_006983	chr1	1567559	1570030	1000	1000	1235	1235
MMP23A	NR_002946	chr1	1568158	1570027	1000	1000	934	934
CDK11B	NM_033487	chr1	1570602	1655859	1000	1000	42628	42628
CDK11B	NM_033486	chr1	1570602	1655859	1000	1000	42628	42628
CDK11B	NM_033489	chr1	1570602	1655859	1000	1000	42628	42628
CDK11B	NM_033490	chr1	1570602	1655859	1000	1000	42628	42628
CDK11B	NM_001291345	chr1	1570602	1655859	1000	1000	42628	42628
CDK11B	NM_001787	chr1	1570602	1655859	1000	1000	42628	42628
SLC35E2B	NM_001290264	chr1	1592938	1624243	1000	1000	15652	15652
SLC35E2B	NM_001110781	chr1	1592938	1624243	1000	1000	15652	15652
MMP23A	NR_002946	chr1	1631377	1633247	1000	1000	935	934
CDK11A	NM_033529	chr1	1634169	1655791	1000	1000	10811	10810
CDK11A	NM_024011	chr1	1634169	1655791	1000	1000	10811	10810
SLC35E2	NM_001199787	chr1	1656276	1677438	1000	1000	10581	10580
SLC35E2	NM_182838	chr1	1658823	1677438	1000	1000	9307	9307
NADK	NM_001198994	chr1	1682670	1711508	1000	1000	14419	14418
NADK	NM_001198993	chr1	1682670	1710297	1000	1000	13813	13813
NADK	NM_001198995	chr1	1682670	1690081	1000	1000	3705	3705
NADK	NM_023018	chr1	1682670	1709909	1000	1000	13619	13619
GNB1	NM_001282539	chr1	1716723	1822556	1000	1000	52916	52916
GNB1	NM_002074	chr1	1716723	1822556	1000	1000	52916	52916
GNB1	NM_001282538	chr1	1716723	1822556	1000	1000	52916	52916
CALML6	NM_138705	chr1	1846265	1848733	1000	1000	1234	1233
TMEM52	NM_178545	chr1	1849028	1850740	1000	1000	856	855
CFAP74	NM_001304360	chr1	1853389	1935276	1000	1000	40943	40943
GABRD	NM_000815	chr1	1950767	1962192	1000	1000	5712	5712
PRKCZ	NM_002744	chr1	1981908	2116834	1000	1000	67463	67462
PRKCZ	NM_001033581	chr1	2005085	2116834	1000	1000	55874	55874
